x,y
1834,510
1835,500
1836,506
1837,509
1838,509
1839,512
1840,505
1841,509
1842,502
1843,497
1844,505
1845,508
1846,509
1847,502
1848,504
1849,508
1850,507
1851,503
1852,501
1853,503
1854,506
1855,512
1856,507
1857,500
1858,504
1859,511
1860,509
1861,504
1862,509
1863,507
1864,508
1865,496
1866,514
1867,515
1868,512
1869,508
1870,507
1871,507
1872,506
1873,506
1874,506
1875,506
1876,503
1877,504
1878,509
1879,509
1880,509
1881,513
1882,513
1883,506
1884,502
1885,512
1886,518
1887,518
1888,520
1889,517
1890,521
1891,524
1892,526
1893,524
1894,528
1895,529
1896,534
1897,524
1898,526
1899,532
1900,530
1901,526
1902,519
1903,514
1904,515
1905,507
1906,510
1907,502
1908,501
1909,505
1910,506
1911,503
1912,504
1913,505
1914,491
1915,505
1916,508
1917,516
1918,519
1919,519
1920,513
1921,512
1922,513
1923,514
1924,512
1925,512
1926,522
1927,568
1928,655
1929,734
1930,766
1931,759
1932,703
1933,595
1934,513
1935,485
1936,488
1937,506
1938,507
1939,498
1940,489
1941,499
1942,507
1943,500
1944,492
1945,487
1946,489
1947,490
1948,488
1949,487
1950,488
1951,493
1952,496
1953,502
1954,502
1955,510
1956,499
1957,502
1958,499
1959,506
1960,520
1961,524
1962,522
1963,535
1964,535
1965,535
1966,541
1967,544
1968,545
1969,551
1970,556
1971,555
1972,555
1973,555
1974,556
1975,550
1976,557
1977,553
1978,546
1979,535
1980,542
1981,539
1982,527
1983,517
1984,518
1985,512
1986,499
1987,491
1988,484
1989,481
1990,480
1991,477
1992,473
1993,471
1994,470
1995,467
1996,465
1997,469
1998,472
1999,478
2000,476
2001,473
2002,471
2003,487
2004,485
2005,478
2006,489
2007,481
2008,484
2009,484
2010,486
2011,487
2012,482
2013,481
2014,484
2015,485
2016,478
2017,478
2018,484
2019,481
2020,473
2021,484
2022,497
2023,494
2024,479
2025,490
2026,492
2027,491
2028,488
2029,486
2030,485
2031,486
2032,482
2033,481
2034,481
2035,481
2036,470
2037,485
2038,488
2039,476
2040,467
2041,463
2042,481
2043,492
2044,487
2045,476
2046,482
2047,482
2048,480
2049,477
2050,477
2051,479
2052,477
2053,477
2054,481
2055,479
2056,479
2057,486
2058,478
2059,479
2060,477
2061,482
2062,486
2063,495
2064,495
2065,495
2066,490
2067,487
2068,489
2069,489
2070,481
2071,472
2072,467
2073,471
2074,471
2075,467
2076,462
2077,462
2078,464
2079,463
2080,460
2081,460
2082,455
2083,456
2084,462
2085,461
2086,463
2087,468
2088,466
2089,466
2090,467
2091,462
2092,463
2093,462
2094,464
2095,462
2096,490
2097,577
2098,651
2099,679
2100,684
2101,663
2102,581
2103,483
2104,444
2105,450
2106,471
2107,470
2108,470
2109,468
2110,464
2111,456
2112,451
2113,459
2114,455
2115,449
2116,446
2117,447
2118,441
2119,456
2120,457
2121,457
2122,459
2123,465
2124,467
2125,472
2126,468
2127,460
2128,474
2129,488
2130,483
2131,488
2132,487
2133,493
2134,500
2135,502
2136,505
2137,512
2138,513
2139,516
2140,523
2141,527
2142,525
2143,526
2144,526
2145,530
2146,529
2147,523
2148,519
2149,512
2150,504
2151,493
2152,497
2153,487
2154,479
2155,471
2156,456
2157,461
2158,461
2159,460
2160,466
2161,456
2162,453
2163,456
2164,464
2165,466
2166,466
2167,457
2168,460
2169,464
2170,466
2171,460
2172,475
2173,480
2174,482
2175,479
2176,480
2177,483
2178,477
2179,486
2180,488
2181,490
2182,487
2183,492
2184,491
2185,488
2186,494
2187,493
2188,504
2189,501
2190,492
2191,494
2192,503
2193,500
2194,498
2195,495
2196,506
2197,508
2198,503
2199,503
2200,503
2201,499
2202,505
2203,508
2204,504
2205,512
2206,512
2207,505
2208,509
2209,516
2210,510
2211,521
2212,516
2213,517
2214,515
2215,520
2216,523
2217,527
2218,532
2219,526
2220,528
2221,529
2222,528
2223,528
2224,539
2225,547
2226,549
2227,545
2228,561
2229,557
2230,555
2231,552
2232,553
2233,551
2234,546
2235,541
2236,536
2237,536
2238,536
2239,539
2240,540
2241,544
2242,540
2243,543
2244,537
2245,534
2246,539
2247,543
2248,531
2249,542
2250,544
2251,546
2252,543
2253,536
2254,536
2255,551
2256,556
2257,549
2258,557
2259,595
2260,680
2261,748
2262,800
2263,803
2264,778
2265,695
2266,590
2267,543
2268,550
2269,560
2270,555
2271,548
2272,544
2273,547
2274,541
2275,546
2276,551
2277,547
2278,556
2279,555
2280,557
2281,562
2282,555
2283,554
2284,564
2285,565
2286,559
2287,571
2288,575
2289,566
2290,558
2291,557
2292,563
2293,569
2294,573
2295,579
2296,582
2297,597
2298,595
2299,594
2300,613
2301,611
2302,611
2303,617
2304,623
2305,623
2306,615
2307,614
2308,615
2309,613
2310,608
2311,607
2312,605
2313,600
2314,584
2315,574
2316,559
2317,565
2318,563
2319,560
2320,555
2321,553
2322,544
2323,540
2324,541
2325,536
2326,531
2327,532
2328,541
2329,539
2330,533
2331,535
2332,537
2333,536
2334,529
2335,536
2336,541
2337,544
2338,539
2339,545
2340,557
2341,554
2342,550
2343,554
2344,555
2345,558
2346,555
2347,556
2348,550
2349,553
2350,555
2351,554
2352,545
2353,558
2354,562
2355,554
2356,561
2357,553
2358,557
2359,564
2360,563
2361,563
2362,560
2363,557
2364,562
2365,569
2366,556
2367,554
2368,559
2369,557
2370,559
2371,562
2372,567
2373,558
2374,559
2375,565
2376,566
2377,558
2378,556
2379,557
2380,560
2381,561
2382,548
2383,566
2384,568
2385,565
2386,563
2387,562
2388,561
2389,555
2390,559
2391,570
2392,577
2393,569
2394,566
2395,566
2396,571
2397,564
2398,559
2399,571
2400,580
2401,578
2402,577
2403,576
2404,581
2405,579
2406,573
2407,565
2408,567
2409,557
2410,553
2411,559
2412,559
2413,556
2414,551
2415,553
2416,556
2417,542
2418,542
2419,544
2420,555
2421,536
2422,542
2423,548
2424,550
2425,550
2426,545
2427,541
2428,538
2429,543
2430,551
2431,556
2432,553
2433,552
2434,594
2435,682
2436,756
2437,785
2438,788
2439,761
2440,650
2441,566
2442,529
2443,548
2444,554
2445,545
2446,537
2447,530
2448,524
2449,516
2450,521
2451,523
2452,525
2453,518
2454,521
2455,522
2456,514
2457,515
2458,513
2459,525
2460,512
2461,525
2462,533
2463,533
2464,528
2465,528
2466,531
2467,543
2468,537
2469,535
2470,540
2471,550
2472,552
2473,554
2474,560
2475,568
2476,565
2477,561
2478,574
2479,573
2480,580
2481,587
2482,586
2483,583
2484,582
2485,574
2486,569
2487,565
2488,558
2489,546
2490,540
2491,533
2492,525
2493,518
2494,507
2495,506
2496,496
2497,485
2498,486
2499,492
2500,486
2501,479
2502,483
2503,491
2504,487
2505,484
2506,491
2507,493
2508,487
2509,479
2510,492
2511,496
2512,491
2513,491
2514,498
2515,493
2516,490
2517,488
2518,495
2519,497
2520,488
2521,491
2522,492
2523,498
2524,492
2525,481
2526,489
2527,486
2528,489
2529,480
2530,486
2531,488
2532,475
2533,473
2534,483
2535,479
2536,473
2537,471
2538,469
2539,467
2540,461
2541,471
2542,474
2543,468
2544,468
2545,464
2546,468
2547,468
2548,469
2549,465
2550,468
2551,471
2552,464
2553,456
2554,465
2555,463
2556,457
2557,458
2558,456
2559,463
2560,455
2561,450
2562,456
2563,460
2564,450
2565,448
2566,453
2567,454
2568,452
2569,452
2570,450
2571,450
2572,444
2573,440
2574,447
2575,458
2576,451
2577,448
2578,452
2579,454
2580,454
2581,444
2582,456
2583,468
2584,466
2585,458
2586,461
2587,470
2588,466
2589,454
2590,456
2591,458
2592,445
2593,434
2594,437
2595,441
2596,440
2597,429
2598,440
2599,444
2600,438
2601,433
2602,437
2603,433
2604,439
2605,443
2606,437
2607,427
2608,428
2609,428
2610,434
2611,438
2612,433
2613,424
2614,440
2615,443
2616,437
2617,440
2618,470
2619,566
2620,653
2621,711
2622,716
2623,663
2624,565
2625,465
2626,430
2627,431
2628,436
2629,435
2630,429
2631,426
2632,418
2633,414
2634,414
2635,411
2636,422
2637,419
2638,421
2639,419
2640,421
2641,429
2642,429
2643,427
2644,429
2645,426
2646,429
2647,430
2648,432
2649,435
2650,438
2651,435
2652,434
2653,445
2654,468
2655,464
2656,478
2657,482
2658,480
2659,478
2660,480
2661,480
2662,487
2663,486
2664,487
2665,489
2666,491
2667,492
2668,484
2669,483
2670,483
2671,476
2672,477
2673,469
2674,458
2675,454
2676,443
